"","species","centroid.distance","I.obs","I.res.s","I.res.w","p.similar","migStatus"
"335","Pterophanes cyanopterus",171104.90714706,0.567285926831298,0.578380511722586,0.515346640156221,0.138613861386139,"1"
"336","Ramphodon naevius",58221.0907382383,0.411678369521439,0.438570787090358,0.445479826941299,0.198019801980198,"1"
"337","Ramphomicron dorsale",NA,NA,NA,NA,NA,"1"
"338","Ramphomicron microrhynchum",272874.491213869,0.576186685940096,0.633936613357592,0.491502928086228,0.277227722772277,"1"
"339","Rhodopis vesper",320875.263695299,0.62662063769001,0.618188277792343,0.649020669538353,0.0198019801980198,NA
"340","Sappho sparganura",49781.0242012648,0.559347164771179,0.463875418979498,0.496485595535642,0.0198019801980198,NA
"341","Sappho sparganurus",NA,NA,NA,NA,NA,"1"
"342","Schistes albogularis",NA,NA,NA,NA,NA,"1"
"343","Schistes geoffroyi",232931.143448453,0.657844086256678,0.668572973959875,0.793504779370812,0.0198019801980198,"1"
"344","Selasphorus ardens",NA,NA,NA,NA,NA,"1"
"345","Selasphorus calliope",NA,NA,NA,NA,NA,"3"
"346","Selasphorus flammula",7447.75931526252,0.479614437018114,0.485797455566355,0.4854628800395,0.138613861386139,"1"
"347","Selasphorus platycercus",1494214.73841399,0.597129115501799,0.521528717637405,0.436900890641504,0.0396039603960396,"2"
"348","Selasphorus rufus",2936903.5939976,0.727964757675418,0.543394398365745,0.427392372101629,0.0198019801980198,"3"
"349","Selasphorus sasin",401497.64538274,0.628056536907241,0.636137181823534,0.675216056977263,0.0198019801980198,"2"
"350","Selasphorus scintilla",19513.9470488133,0.469261443424959,0.492453825664218,0.481567939230565,0.0594059405940594,"1"
"351","Sephanoides fernandensis",NA,NA,NA,NA,NA,"1"
"352","Sephanoides sephaniodes",NA,NA,NA,NA,NA,"2"
"353","Sephanoides sephanoides",559629.699924212,0.484746247083703,0.476416198636945,0.399680350469681,0.0198019801980198,NA
"354","Stephanoxis lalandi",235911.88994823,0.470520088638356,0.459030662668371,0.486952641971258,0.376237623762376,"1"
"355","Stephanoxis loddigesii",NA,NA,NA,NA,NA,"1"
"356","Sternoclyta cyanopectus",NA,NA,NA,NA,NA,"1"
